File Version	v3.05.00
Modified Date	10/11/2022
Modified Time	14:18:23

LoadID	LoadName	RoomID	DIM_setting	Ramp_time	Upper_limit	Lower_limit	TotalWattage
215	Downlights	5	True	500	100	1	100
216	Cabinets	5	True	500	100	1	100
217	Undercabinets	5	True	500	100	1	100
219	Downlights	22	True	500	100	1	100
229	Mirror	18	True	500	100	1	100
231	Chandalier	1	True	500	100	1	100
233	5 Amp	1	True	500	100	1	100
235	Sconces	1	True	500	100	1	50
236	Chandalier	6	True	500	100	1	100
238	5 Amp	6	True	500	100	1	100
239	Chandalier	22	True	500	100	1	100
240	5 Amp	22	True	500	100	1	100
241	Ceiling Light	5	True	500	100	1	100
242	Ceiling Light	10	True	500	100	1	100
243	5 Amp RHS of Bed	10	True	500	100	1	100
244	5 Amp LHS of Bed	10	True	500	100	1	100
245	5 Amp	10	True	500	100	1	100
246	Mirror Lights	12	True	500	100	1	50
247	Sconces	2	True	500	100	1	50
249	5 Amp LHS of Bed	16	True	500	100	1	100
250	5 Amp	16	True	500	100	1	100
251	5 Amp RHS of Bed	16	True	500	100	1	100
259	W1 Blackout	6	False	500	100	1	200
260	W2 Blackout	6	False	500	100	1	200
261	W1 Sheer	6	False	500	100	1	200
262	W2 Sheer	6	False	500	100	1	200
265	Blackout	10	False	500	100	1	200
266	Sheer	10	False	500	100	1	200
270	Blackout	16	False	500	100	1	200
271	Sheer	16	False	500	100	1	200
67	5 Amp RHS of Bed	9	True	500	100	1	100
68	5 Amp LHS of Bed	9	True	500	100	1	100
69	5 Amp	9	True	500	100	1	100
100	Sheer	9	False	500	100	1	200
103	Blackout	9	False	500	100	1	200
169	Coffer	1	True	500	100	1	100
170	Downlights	14	True	500	100	1	100
171	Downlights	3	True	500	100	1	100
173	Downlights	2	True	500	100	1	100
174	Mirror	2	True	500	100	1	100
175	Under Sink	2	True	500	100	1	100
176	Downlights	9	True	500	100	1	100
177	Downlight Centre	7	True	500	100	1	100
178	Downlights	7	True	500	100	1	100
179	Coffer Shower	7	True	500	100	1	100
180	Mirror	7	True	500	100	1	100
181	Downlights Large	8	True	500	100	1	100
183	Coffer Shower	18	True	500	100	1	100
184	Downlight Centre	18	True	500	100	1	100
185	Downlights	18	True	500	100	1	100
186	DLs Front	6	True	500	100	1	100
187	DLs Left	6	True	500	100	1	100
188	DLs Rear	6	True	500	100	1	100
189	DLs Right	6	True	500	100	1	100
190	Shelf Rear	6	True	500	100	1	100
191	Shelf Front	6	True	500	100	1	100
192	Downlights	10	True	500	100	1	100
193	Downlights Small	11	True	500	100	1	100
195	Coffer Bath	12	True	500	100	1	100
196	Downlights	12	True	500	100	1	100
197	Coffer WC	12	True	500	100	1	100
198	Niche	12	True	500	100	1	100
199	Coffer Shower	12	True	500	100	1	100
200	Mirrors	12	True	500	100	1	100
201	Under Sink	12	True	500	100	1	100
202	Coffer	4	True	500	100	1	100
203	Downlights	4	True	500	100	1	100
206	Downlights	16	True	500	100	1	100
283	Downlights 2	3	True	500	100	1	100
284	Downlights Small	8	True	500	100	1	100
286	Downlights	15	True	500	100	1	100
288	5 Amp	15	False	500	100	1	100
296	Downlights Large	11	True	500	100	1	100
298	Downlights	17	True	500	100	1	100
300	5 Amp & Wall	4	True	500	100	1	100
301	Wall Lights	3	True	500	100	1	50
302	Ceiling Lights	12	True	500	100	1	100
303	Wall Lights	9	True	500	100	1	50

